ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
8.427,-6.101,0.255,4.5539,-3.772,2.1835,16,2022-10-15 14:59:01:076
6.8471,-5.1,-1.563,0.0308,-0.2311,0.6304,516,2022-10-15 14:59:01:576
1.0721,-15.474,-1.2041,1.5775,0.8042,-0.1143,1016,2022-10-15 14:59:02:076
1.1771,-7.003,2.3861,-0.3145,-0.2919,-0.3741,1516,2022-10-15 14:59:02:576
4.8791,-8.493,2.084,-0.0214,-0.0788,-0.0088,2016,2022-10-15 14:59:03:076
6.1001,-7.604,1.3901,-0.0268,0.0617,0.168,2516,2022-10-15 14:59:03:576
4.649,-8.612,0.8441,-0.0417,-0.0437,0.0349,3016,2022-10-15 14:59:04:076
4.431,-8.567,1.1771,0.0936,-0.0415,-0.0236,3516,2022-10-15 14:59:04:576
4.4981,-8.6029,1.4831,0.0616,-0.0043,0.0029,4015,2022-10-15 14:59:05:075
4.512,-8.55,1.878,-0.0194,-0.0043,-0.0077,4516,2022-10-15 14:59:05:576
4.68,-8.538,1.658,0.0946,-0.0905,0.0318,5015,2022-10-15 14:59:06:075
4.6631,-8.485,1.62,0.019,-0.0139,-0.0014,5516,2022-10-15 14:59:06:576
4.685,-8.493,1.5581,-0.047,0.0022,-0.0151,6016,2022-10-15 14:59:07:076
4.716,-8.457,1.548,0.003,-0.0202,-0.0045,6516,2022-10-15 14:59:07:576
4.8071,-8.4499,1.512,0.0169,-0.0181,0.004,7016,2022-10-15 14:59:08:076
4.776,-8.4881,1.5101,-0.0118,-0.0128,-0.0034,7516,2022-10-15 14:59:08:576
4.862,-8.4379,1.553,0.0073,-0.0118,0.0129,8015,2022-10-15 14:59:09:075
4.692,-8.4619,1.548,4.0E-4,-8.0E-4,-0.0069,8516,2022-10-15 14:59:09:576
4.7591,-8.454,1.503,-0.0049,0.0095,-0.0033,9016,2022-10-15 14:59:10:076
4.692,-8.49,1.5431,-0.0018,-0.0014,-0.0037,9516,2022-10-15 14:59:10:576
5.396,-7.3909,1.905,-0.0235,0.2005,-0.0136,10016,2022-10-15 14:59:11:076
3.71,-9.2201,-1.314,-0.9269,-1.0267,-0.347,10516,2022-10-15 14:59:11:576
3.263,-8.847,3.2531,-0.2898,0.1141,0.1962,11016,2022-10-15 14:59:12:076
4.01,-9.9,5.829,0.6603,2.2106,-0.3216,11516,2022-10-15 14:59:12:576
3.593,-11.2271,-2.2391,-0.0311,0.0535,0.2335,12016,2022-10-15 14:59:13:076
9.878,-3.06,1.742,0.868,0.5393,0.194,12516,2022-10-15 14:59:13:576
4.721,-5.849,10.895,1.8385,-0.0349,-2.4073,13016,2022-10-15 14:59:14:076
2.006,0.372,10.1531,0.3759,-0.426,-3.0507,13516,2022-10-15 14:59:14:576
4.9481,-2.4881,9.09,0.3226,-0.3418,1.0175,14016,2022-10-15 14:59:15:076
4.2701,-3.546,6.423,1.4539,-2.1581,0.4583,14516,2022-10-15 14:59:15:576
3.078,-3.292,6.885,1.6105,0.2548,1.0346,15016,2022-10-15 14:59:16:076
-0.962,4.473,9.413,0.9618,2.8189,0.2899,15515,2022-10-15 14:59:16:575
0.038,0.3,9.348,-0.422,0.2122,0.8247,16015,2022-10-15 14:59:17:075
5.6951,1.004,6.341,0.0936,-1.6446,1.874,16515,2022-10-15 14:59:17:575
9.894,-2.9621,3.092,0.6806,-0.5804,0.9248,17016,2022-10-15 14:59:18:076
8.372,-4.5881,0.195,-0.2505,0.0939,0.0226,17516,2022-10-15 14:59:18:576
3.756,-3.611,3.0251,-1.2455,0.9697,-0.0766,18016,2022-10-15 14:59:19:076
8.156,-3.2089,1.493,0.1959,-0.3492,-0.4504,18515,2022-10-15 14:59:19:575
