ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
8.13,-3.8689,7.206,2.3807,-4.1096,3.8191,14,2022-10-15 15:00:20:166
8.6111,-1.806,-0.067,0.3535,-0.998,-0.5709,511,2022-10-15 15:00:20:663
5.946,-16.647,-3.91,1.0438,-0.934,2.7305,1010,2022-10-15 15:00:21:162
4.3661,-8.543,2.204,-0.2142,0.1376,-0.051,1511,2022-10-15 15:00:21:663
4.5911,-8.77,0.8561,-0.4667,0.4956,0.0235,2010,2022-10-15 15:00:22:162
4.242,-8.823,0.552,0.1255,-0.1776,0.0513,2510,2022-10-15 15:00:22:662
4.1291,-7.782,0.645,-0.6009,0.4082,-0.0883,3011,2022-10-15 15:00:23:163
4.517,-8.0591,-0.129,0.5442,-0.4557,0.1152,3511,2022-10-15 15:00:23:663
4.4171,-8.828,1.179,0.263,-0.084,-0.0468,4011,2022-10-15 15:00:24:163
4.7591,-8.8421,0.6791,-0.0843,-0.0243,-0.1,4511,2022-10-15 15:00:24:663
4.8671,-8.373,1.139,0.034,-0.0733,-0.0488,5011,2022-10-15 15:00:25:163
4.764,-8.517,0.7151,0.1704,-0.084,0.0843,5511,2022-10-15 15:00:25:663
4.754,-8.584,0.861,0.0446,-0.034,0.0118,6011,2022-10-15 15:00:26:163
4.3781,-8.869,1.2731,0.0052,-0.0104,-0.018,6511,2022-10-15 15:00:26:663
4.503,-8.6771,1.0601,0.0223,-0.0232,0.0022,7011,2022-10-15 15:00:27:163
4.5341,-8.679,0.9731,-0.0098,0.0268,0.0311,7510,2022-10-15 15:00:27:662
4.608,-8.622,0.926,0.0382,-0.0318,-0.001,8011,2022-10-15 15:00:28:163
4.6511,-8.643,0.794,-0.0331,-0.0051,0.0076,8511,2022-10-15 15:00:28:663
4.529,-8.761,0.614,-0.0982,0.0928,-0.003,9011,2022-10-15 15:00:29:163
4.749,-8.608,0.5471,0.0201,0.029,0.0193,9511,2022-10-15 15:00:29:663
4.517,-8.663,0.578,-0.0183,-0.0136,0.0076,10011,2022-10-15 15:00:30:163
4.467,-8.775,0.657,0.0095,-0.0084,0.0022,10511,2022-10-15 15:00:30:663
4.764,-8.742,0.449,0.001,-0.0201,-0.0232,11011,2022-10-15 15:00:31:163
-2.748,-5.916,-4.9459,-1.4585,-1.9514,-0.785,11511,2022-10-15 15:00:31:663
6.5381,-12.702,13.397,-2.1733,7.3026,-2.2422,12011,2022-10-15 15:00:32:163
2.343,-5.385,-5.9179,-2.4471,0.6405,0.2441,12511,2022-10-15 15:00:32:663
-0.1,-2.6801,3.4901,0.6593,5.9518,0.6383,13011,2022-10-15 15:00:33:163
10.455,-11.418,3.863,-2.3149,-4.4356,-2.7461,13511,2022-10-15 15:00:33:663
9.866,2.4791,-5.5091,-2.431,-2.2209,-2.728,14011,2022-10-15 15:00:34:163
11.5631,-11.9569,-1.475,2.5416,-1.6734,1.3723,14511,2022-10-15 15:00:34:663
-17.999,5.412,-3.206,3.7582,2.3832,-0.7668,15010,2022-10-15 15:00:35:162
0.258,3.743,-1.202,-0.6212,-0.835,0.7096,15511,2022-10-15 15:00:35:663
-1.6639,0.899,-1.1711,0.7179,-3.0081,-1.2643,16011,2022-10-15 15:00:36:163
6.9881,-11.787,2.4821,1.2154,-6.7078,-3.4853,16511,2022-10-15 15:00:36:663
6.2651,2.9171,3.351,0.2204,-0.2853,0.0598,17011,2022-10-15 15:00:37:163
-4.381,-2.6441,6.617,1.3581,-0.8584,-2.4361,17510,2022-10-15 15:00:37:662
6.126,-29.088,0.9851,-1.9368,-3.3821,-3.6622,18011,2022-10-15 15:00:38:163
5.894,-14.299,0.3701,0.9809,-2.4105,2.6538,18511,2022-10-15 15:00:38:663
-1.8581,-6.6401,0.231,1.9078,-2.7482,0.5243,19011,2022-10-15 15:00:39:163
1.175,-14.088,-1.101,0.7807,-0.7817,0.9897,19511,2022-10-15 15:00:39:663
11.36,1.1741,-2.7049,0.3174,2.0955,-0.7722,20011,2022-10-15 15:00:40:163
-6.0671,-1.83,1.373,3.5142,6.7583,-0.4654,20511,2022-10-15 15:00:40:663
14.144,-16.659,6.02,0.5038,7.7766,-6.4192,21011,2022-10-15 15:00:41:163
0.143,-12.7969,3.518,-0.4965,-3.0496,1.2998,21511,2022-10-15 15:00:41:663
16.553,-8.5909,-11.6651,-0.0587,0.8108,0.2302,22012,2022-10-15 15:00:42:164
-4.7381,-6.7069,1.275,3.1701,2.0028,-0.6167,22511,2022-10-15 15:00:42:663
3.4901,-12.824,3.006,2.4531,0.3378,-0.6858,23011,2022-10-15 15:00:43:163
1.572,-15.996,2.223,0.769,-5.4923,0.014,23511,2022-10-15 15:00:43:663
8.793,-18.127,-1.65,-0.2835,1.1539,-3.5227,24011,2022-10-15 15:00:44:163
1.041,-16.954,14.774,0.0403,-1.5731,0.2483,24511,2022-10-15 15:00:44:663
-1.1921,-10.365,5.405,3.3747,-6.0569,1.7302,25011,2022-10-15 15:00:45:163
0.837,-14.775,1.728,1.1227,-2.0494,2.0423,25511,2022-10-15 15:00:45:663
-4.8911,-5.0021,1.263,1.0801,-1.5157,0.6894,26011,2022-10-15 15:00:46:163
4.247,-3.558,1.3541,0.1085,1.0036,1.7813,26511,2022-10-15 15:00:46:663
-3.574,-4.8251,0.5621,1.765,-1.2771,1.3925,27011,2022-10-15 15:00:47:163
1.4141,-9.4,2.3141,0.0393,-0.2959,0.2142,27511,2022-10-15 15:00:47:663
0.852,-9.8959,0.8801,-0.1961,0.1525,-0.0947,28011,2022-10-15 15:00:48:163
3.588,-9.525,0.4181,0.181,-0.1181,0.1695,28511,2022-10-15 15:00:48:663
1.05,-9.845,0.308,-0.0278,0.143,0.0033,29011,2022-10-15 15:00:49:163
1.464,-9.809,0.638,-0.0129,0.0418,0.0012,29512,2022-10-15 15:00:49:664
1.5,-9.7849,0.6671,-1.0E-4,0.0087,-0.0104,30011,2022-10-15 15:00:50:163
1.397,-9.924,0.602,-1.0E-4,-0.0073,-0.0126,30511,2022-10-15 15:00:50:663
1.611,-9.783,0.621,-0.0246,-0.1511,-0.0084,31011,2022-10-15 15:00:51:163
1.563,-9.809,0.684,0.0223,-0.0818,0.0055,31511,2022-10-15 15:00:51:663
1.472,-9.8021,0.777,0.0095,-0.0041,-0.0084,32011,2022-10-15 15:00:52:163
1.376,-10.03,0.765,0.0446,-0.1159,-0.0232,32510,2022-10-15 15:00:52:662
1.508,-9.735,0.756,-0.0129,-0.0093,-0.0115,33011,2022-10-15 15:00:53:163
1.718,-9.7451,0.7481,-0.0087,0.0342,-0.0137,33511,2022-10-15 15:00:53:663
1.6511,-9.642,0.9491,-0.0203,0.2218,0.0183,34011,2022-10-15 15:00:54:163
1.754,-9.635,0.803,-0.1119,0.3517,-0.0041,34511,2022-10-15 15:00:54:663
2.192,-9.309,1.383,-0.0598,1.6866,0.1471,35011,2022-10-15 15:00:55:163
0.519,-10.0151,1.9121,-0.2878,-1.4986,0.1792,35511,2022-10-15 15:00:55:663
2.513,-6.979,0.542,0.0191,0.9228,0.6329,36010,2022-10-15 15:00:56:162
2.235,-10.659,1.373,0.1821,0.8173,-0.0616,36511,2022-10-15 15:00:56:663
5.489,-6.714,0.7391,-0.2302,0.3102,0.3677,37011,2022-10-15 15:00:57:163
1.5341,-9.091,0.471,1.4699,-1.2152,-0.835,37511,2022-10-15 15:00:57:663
6.624,-4.006,9.636,1.7842,2.1787,-4.2673,38011,2022-10-15 15:00:58:163
2.384,3.2,3.3101,-0.7054,0.6596,-0.4771,38511,2022-10-15 15:00:58:663
-4.182,4.6001,7.517,0.036,0.0694,-0.0115,39011,2022-10-15 15:00:59:163
